nom_serie,valeur,categorie,date_mesure
serie_A,12.50,temperature,2024-01-15
serie_A,15.30,temperature,2024-01-16
serie_A,8.70,temperature,2024-01-17
serie_A,21.00,temperature,2024-01-18
serie_A,13.20,temperature,2024-01-19
serie_A,9.80,temperature,2024-01-20
serie_A,17.60,temperature,2024-01-21
serie_A,11.40,temperature,2024-01-22
serie_B,45.10,pression,2024-01-15
serie_B,52.80,pression,2024-01-16
serie_B,48.60,pression,2024-01-17
serie_B,55.20,pression,2024-01-18
serie_B,50.90,pression,2024-01-19
serie_B,47.30,pression,2024-01-20
serie_B,53.70,pression,2024-01-21
serie_B,49.80,pression,2024-01-22
serie_C,235.8,debit,2024-01-15
serie_C,245.1,debit,2024-01-16
serie_C,238.4,debit,2024-01-17
serie_C,210.9,debit,2024-01-18
serie_C,228.4,debit,2024-01-19
